Angielski,Polski,Frequency,BadlyAnswer,PerfectScore
merely,zaledwie,14,1,0
themselves,sobie,15,3,0
liberating,wyzwalający,14,5,0
feared,przestraszony,14,0,0
constrain,wymusić,12,6,1
genie,dżin,14,1,0
wishful,pragnący,15,10,0
hampered,skrępowany,12,8,0
flourished,rozkwitł,15,3,0
magnifies,powiększa,14,1,0
associate,współpracownik,12,10,1
elbows,łokcie,14,0,0
bearable,znośny,12,4,1
straightforward,bezpośrednio,14,1,0
lameness,kalectwo,12,7,1
convenient,wygodny,12,4,1
proliferate,rozmnażać się,14,6,0
tweak,dostrajać,15,7,0
convergence,zbieżność,14,1,0
amused,rozbawiony,26,12,0
snore,chrapać,14,4,0
frugality,oszczędność,12,10,1
complacent,zadowolony z siebie,14,3,0
presumably,prawdopodobnie,15,2,0
disparage,deprecjonować,14,4,0
intimidated,onieśmielony,15,5,0
shelf,półka,14,0,0
retail,sprzedaż,14,4,0
grovel,czołgać się,12,3,0
appeared,pojawił się,14,2,0
venture,przedsięwzięcie,12,7,1
redundant,zbędny,15,2,0
pitcher,zawodnik rzucający piłką,14,2,0
inevitably,nieuchronnie,14,3,0
laundry,pranie,14,1,0
brief,krótki,14,0,0
sketch,naszkicować,12,7,1
envelope,powłoka,14,6,0
wiggle,poruszaj,15,5,0
leisure,wypoczynek,12,9,1
wealth,bogactwo,14,0,0
endure,wytrzymać,12,7,1
penny,grosz,14,4,0
salary,pensja,14,0,0
bulk,ogrom,14,0,0
discount,zniżka,15,2,0
evade,uchylać się,15,2,0
outliers,odstające,14,2,0
blunders,błędy,29,1,0
no doubt,bez wątpienia,14,1,0
leverage,wpływ,14,0,0
bold,śmiały,14,0,0
promptly,natychmiast,14,2,0
plenty,dużo,15,2,0
extortion,wymuszenie,14,5,0
graft,łapówka,15,5,0
lobbying,wywieranie nacisku,12,7,1
counterfeiting,fałszowanie,14,7,0
comparatively,stosunkowo,14,2,0
interchangeable,wymienny,14,2,0
violins,skrzypce,14,1,0
obscure,niejasny,14,4,0
fallacy,przesąd,14,0,0
retain,zachować,14,5,0
disprove,obalić,15,7,0
adulthood,wiek dojrzały,14,0,0
astray,zabłąkany,14,4,0
pristine,dziewiczy,14,2,0
consider,rozważać,14,1,0
distinct,odmienny/wyraźny,14,5,0
inferior,gorszy,12,12,0
proverbial,przysłowiowy,14,2,0
ashtrays,popielniczki,14,3,0
craftsmen,rzemieślnicy,14,0,0
grasp,zrozumieć/pojąć,12,12,0
rise,wzrastać,14,2,0
valuable,cenny,14,4,0
confuse,pomylić,12,10,1
mailroom,poczta,14,0,0
estimating,doceniający,15,6,0
mediocre,przeciętny/mierny,12,7,1
sink,zatonąć,14,2,0
excuses,wymówka,14,0,0
injustice,niesprawiedliwość,12,3,1
such,taki,14,1,0
similarities,podobieństwa,14,1,0
underlying,zasadniczy,12,9,1
concealed,ukryty,12,8,1
averaged,uśredniony,14,1,0
indirect,pośredni,14,3,0
afflicting,trapiący,12,9,1
assigning,przypisywanie,14,0,0
predictable,możliwy do przewidzenia,14,1,0
incompetent,niekompetentny,14,2,0
devoted,oddany,15,7,0
chugging,sapanie,12,6,1
maintaining,utrzymywanie,15,1,0
measuring,zmierzenie,14,0,0
besides,oprócz,15,1,0
held,trzymany,14,1,0
solid,stały,14,2,0
effort,wysiłek,14,0,0
enormously,ogromnie,14,0,0
tangled,zaplątany,14,0,0
reliable,niezawodny,12,4,1
effect,wpływ,14,1,0
piecework,praca akordowa,14,0,0
sweatshop,warsztat,14,3,0
accordingly,odpowiednio,14,0,0
scope,zakres,14,0,0
gross,obrzydliwy,14,6,0
hedge,żywopłot,15,8,0
failure,awaria,25,0,1
smallness,małostkowość,15,1,0
accurately,dokładnie,14,1,0
viable,wykonalny,14,4,0
thus,zatem,14,0,0
galley,statek,14,3,0
rowers,wioślarze,14,0,0
encouraged,zachęcał,14,1,0
unorthodox,nie ortodoksyjny,14,2,0
guide,przewodnik,15,1,0
thumb,kciuk,14,0,0
nimble,zwinny,12,6,1
chased,ścigany,14,5,0
disadvantage,niekorzyść,11,1,1
sought,poszukiwany,15,6,0
guerillas,partyzanci,12,8,1
terrain,teren,14,0,0
troops,wojsko,14,3,0
competitors,konkurenci,14,1,0
pursuers,prześladowcy,14,4,0
clout,klaps,14,3,0
violate,naruszać,15,2,0
sue,pozwać,15,2,0
invented,wynaleziony,12,4,1
litigation,spór,15,7,0
interminable,nie kończący się,14,7,0
clueless,bezradny,14,4,0
payoff,opłacać się,14,1,0
genuinely,prawdziwie,14,3,0
slightly,nieznacznie,14,2,0
mosquito,komar,14,0,0
consolation,pocieszenie,14,2,0
sine,sinus,14,0,0
reassure,uspokajać,15,5,0
comically,uciesznie,14,1,0
eager,chętny,20,0,1
bargains,okazje,14,4,0
acquire,nabywać,14,6,0
overpay,przepłacać,14,0,0
cruising,rejs,15,8,0
altitude,wysokość,14,7,0
financially,materialnie,14,7,0
wiser,mądrzejszy,12,9,1
diversify,urozmaicać,12,8,1
intend,zamierzać,15,3,0
techno-weenies,nieefektywny/nerd,15,1,0
treat,leczyć,14,0,0
impresses,imponuje,14,0,0
adept,biegły,14,2,0
pitfall,pułapka,15,1,0
premature,przedwczesny,14,1,0
principle,zasada,14,0,0
dread,strach,14,7,0
afford,pozwalać,14,4,0
burnt,spalony,14,0,0
slaves,niewolnicy,14,0,0
serfs,chłopi pańszczyźniani,14,6,0
conquest,podbój,12,8,1
accumulate,gromadzić,14,0,0
henchmen,"fanatyk, ktory sie poswieci",15,2,0
withstand,wytrzymać,12,10,0
incentive,zachęta,15,7,0
sufficient,wystarczający,12,6,1
forbid,zakazać,14,0,0
perspiration,pot,12,12,0
mundane,przyziemny,15,4,0
bulbs,żarówki,14,0,0
semiconductors,półprzewodniki,14,0,0
entrepreneurs,przedsiębiorcy,14,1,0
superior,znakomity,14,4,0
rode,jechał,14,0,0
crest,herb,15,1,0
led,prowadzony,14,1,0
ruling,rządzący,12,2,1
mind the gap,uważaj na lukę,14,0,0
contemporaries,współcześni,14,0,0
surpass,przewyższać,14,5,0
misleading,zwodniczy,14,0,0
disreputable,haniebny,14,2,0
sockets,gniazda,14,0,0
circumstances,okoliczności,14,3,0
granary,spichlerz,15,4,0
quantity,ilość,14,0,0
vestigial,szczątkowy,12,11,1
domestic,domowy,19,0,0
sibling,rodzeństwo,12,5,1
desire,pragnienie,14,5,0
vary,różnią się,14,0,0
solicit,zabiegać,15,7,0
bribes,łapówki,14,8,0
establish,ustalić,12,8,0
editorials,artykuły redakcyjne,14,0,0
apparently,widocznie,31,14,1
turnaround,obróć się,14,0,0
regardless,mimo wszystko,14,1,0
committee,komisja,14,3,0
poetry,poezja,15,0,1
underpaid,niedopłacony,14,0,0
unjust,niesprawiedliwy,14,4,0
lamentable,opłakany,15,4,0
steamed,gotowane na parze,12,9,1
agricultural,rolniczy,14,0,0
distributed,rozpowszechniane,14,1,0
ruler,władca,14,1,0
appropriate,odpowiednio,14,0,0
neither rich nor poor,"ani bogaty, ani biedny",14,0,0
independence,niezależność,15,1,0
derived,pochodny,12,6,1
vanity,próżność,14,3,0
greed,chciwość,14,5,0
courtier,dworzanin,14,3,0
industrialist,przemysłowiec,14,0,0
suspicious,podejrzany,25,3,1
undergraduates,studenci,14,2,0
unconsciously,bezwiednie,12,9,0
preserved,zachowane,15,2,0
eminent,wybitny,14,1,0
apparent,pozorny,12,9,1
misquotation,błędny cytat,12,5,1
coincidence,zbieg okoliczności,12,6,1
sliding,przesuwny,15,5,0
mowing,kośba,12,11,1
scooping,nabieranie,15,9,0
vividly,żywo/mocno,14,0,0
within,warsztat,12,14,0
no such,nie ma takiego,14,0,0
polynomial,wielomian,14,0,0
decrease,zmniejszać,15,4,0
wore,nosił,15,3,0
elaborately,wyszukanie,15,2,0
carriages,powozy,14,2,0
more like,bardziej jak,14,0,0
advertise,reklamować,12,2,1
inconvenience,niedogodność,14,2,0
precisely,dokładnie,21,1,1
residue,pozostałość,15,4,0
substantive,niezależny,12,7,1
evaporate,odparować,12,7,1
carriage,wagon,14,3,0
volumes,wolumeny,14,0,0
idleness,bezczynność,12,2,1
distinctions,wyróżnienia,14,1,0
mistress,kochanka,15,6,0
relinquish,porzucić,12,7,1
predicted,przewidywany,14,1,0
axiom,aksjomat,14,1,0
serfdom,poddaństwo,15,5,0
clerk,urzędnik,14,0,0
thrall,niewolnik,14,2,0
unedifying,nie budujący,12,3,1
any doubt,żadnych wątpliwości,14,2,0
suppress,stłumić,12,5,1
arguably,prawdopodobnie,12,11,0
immoral,niemoralny,12,2,1
poverty,ubóstwo,32,5,1
heel,obcas,15,2,0
circumvent,przechytrzyć,12,12,0
recipient,odbiorca,15,1,0
recognizable,rozpoznawalny,15,1,0
hired,zatrudniony,14,0,0
gall,tupet,14,2,0
magnitude,znaczenie,14,1,0
corpus,ciało,14,1,0
bias,stronniczość,14,5,0
distinguish,wyróżnić,12,5,0
arises,powstaje,14,3,0
frankly,szczerze mówiąc,12,10,1
ambiguity,niejasność,12,13,0
moreover,ponadto,20,5,0
advocating,popieranie,15,6,0
advocate,adwokat,14,0,0
stringently,surowo,12,7,0
strain,napięcie/filtrować,12,11,0
resistant,odporny,12,8,1
indistinguishable,nie do odróżnienia,14,2,0
severely,surowo,14,3,0
so - called,tak zwane,14,1,0
opt - in,zdecydowac,12,7,0
conceal,ukryć,15,3,0
hijack,uprowadzać,15,3,0
whittle,zredukować,12,7,1
boilerplate,płyta kotłowa,12,4,1
abominably,wstrętnie,14,6,0
dilute,rozcieńczać/osłabiać,12,14,0
pitches,intensywność,12,9,0
astonishingly,zdumiewająco,14,1,0
credulous,łatwowierny,15,5,0
denial,odmowa,11,1,1
undertake,podjąć,12,11,0
inundated,zalany,12,6,1
overlap,zachodzić na siebie,12,8,1
blathered,bełkotał,15,6,0
tangle,splot,14,3,0
unexamined,niezbadane,15,2,0
bickering,sprzeczka,14,6,0
contradicts,zaprzecza,12,8,0
disputes,sprzeczanie się,12,11,1
hamper,utrudniać,15,4,0
crop up,pojawić się,14,4,0
profusion,obfitość,15,10,0
observed,zauważony,15,4,0
lace collar,koronkowy kołnierzyk,14,1,0
emphasize,podkreślić,14,5,0
simplicity,prostota,14,1,0
pompous,napuszony/protensjonalny,12,14,1
swooshes,szumi,14,6,0
timeless,ponadczasowy,14,0,0
timelessness,bezczasowość,14,0,0
engraver,grawer,14,1,0
comparison,porównanie,14,2,0
appeal,odwołanie,13,9,1
derive,czerpać,14,2,0
merit,zasługa,14,2,0
stove,kuchenka,12,4,1
burners,palniki,14,2,0
misguided,błędny,14,0,0
vogue,moda,14,0,0
pure,czysty,14,2,0
legibility,czytelność,14,5,0
dials,tarcze,12,8,0
intractable,trudny,12,8,1
reconciling,pojednanie,15,10,0
envision,wyobraź sobie,12,8,1
considered,uważany za,15,2,0
rough,surowy,27,4,0
engravings,ryciny,14,4,0
incompleteness,niekompletność,14,1,0
shrug,wzruszać ramionami,14,1,0
misfortunes,nieszczęścia,14,1,0
wounded,ranny,11,8,1
prerogative,przywilej,12,10,0
oneself,się/sobie,14,1,0
swallows,jaskółki,14,0,0
ditto,tak samo,14,0,0
toss,podrzucenie,12,7,1
unnecessary,niepotrzebne,14,1,0
aside,na boku,14,0,0
fickle,zmienny,14,5,0
unreliable,niewiarygodne,14,5,0
satisfy,usatysfakcjonować,14,0,0
branch,gałąź,15,2,0
spare,zapasowy,12,6,1
demand,żądanie,14,1,0
unconscious,nieświadomy,14,1,0
spinal,rdzeniowy,15,5,0
hesitant,niezdecydowany,12,9,1
conscious,świadomy,14,3,0
repetition,powtórzenie,15,1,0
veins,żyły/słojowanie,12,7,1
leaf,liść,14,0,0
premise,przesłanka,12,2,1
striking,uderzający,21,7,0
substitute,zastąpić,12,5,0
resembles,przypomina,14,3,0
deny,zaprzeczyć,15,4,0
misunderstood,niezrozumiany,14,0,0
chew on,żuć,15,3,0
spines,kolce,14,0,0
ribs,żebra,14,0,0
ribcage,klatka piersiowa,14,3,0
unmanned,bezzałogowy,14,0,0
reconnaissance,rozpoznawczy,15,3,0
redesign,przeprojektowanie,15,1,0
confidence,zaufanie,15,7,0
redo,przerobić,14,3,0
convince,przekonać,12,4,1
treating,leczący,14,0,0
disasters,katastrofy,12,4,1
blended,mieszany,14,2,0
overpainted,zamalowany,12,6,1
attitudes,postawy,14,0,0
novice,nowicjusz,14,0,0
pervaded,przeniknięty,14,1,0
selflessness,bezinteresowność,14,1,0
uncanny,niesamowity,14,2,0
miraculous,cudowny,14,4,0
distinctive,charakterystyczny,12,10,0
strangeness,osobliwość,12,14,0
chunks,kawałki,14,0,0
inhabitants,mieszkańcy,15,6,0
assume,przypuszczać,14,2,0
inborn,wrodzony,14,0,0
ruled,rządził,14,1,0
greeted,przywitany,15,1,0
related,związane z,14,0,0
disproportionately,nieproporcjonalnie,14,0,0
daring,śmiały,14,2,0
remarkable,niezwykły,15,5,0
afflicts,boli,12,11,1
secular,świecki,14,4,0
repented,żałował,15,9,0
wisdom,mądrość,22,1,1
intolerance,nietolerancja,14,0,0
gratify,zaspokoić,12,9,0
labor,rodzić,14,3,0
spreadsheet,arkusz,14,0,0
agreement,umowa,14,3,0
advocates,adwokaci,14,0,0
substantially,w zasadzie,12,7,1
awkward,niezręczny,15,1,0
intrinsically,wewnętrznie,15,3,0
merits,zasługi,14,2,0
skewed,przechylony,14,0,0
differ,różnić się,14,0,0
fabulously,bajecznie,14,0,0
backward,do tyłu,14,2,0
misuse,nadużywanie,12,5,1
seat belts,pasy bezpieczeństwa,14,0,0
handcuffs,kajdany,14,1,0
permissive,dozwalający,15,5,0
retrieve,odzyskać,14,1,0
surely,pewno,14,1,0
renaissance,renesans,15,4,0
harness,uprząż,14,0,0
inner,wewnętrzny,15,1,0
corner,kąt,14,0,0
contradiction,sprzeczność,14,9,0
disastrously,katastrofalnie,14,2,0
forbade,zabroniony,12,5,1
zoning,podział na strefy,15,4,0
evolutionary,ewolucyjny,14,0,0
descendants,potomków,14,2,0
undergrads,studenci,15,1,0
converge,skupiać,12,8,1
hunch,przeczucie,14,9,0
presumptuous,arogancki,12,14,1
graspable,chwytalny,14,7,0
soak up,nasiąkać,15,5,0
increasingly,coraz bardziej,14,2,0
shockingly,niemożliwie,14,4,0
astonished,zdziwiony,14,3,0
scarce,deficytowy,12,8,1
stupendously,zdumiewająco,15,3,0
niggling,drobny,12,11,1
ingrained,zakorzeniony,12,7,1
puny,małostkowy,15,5,0
convenience,wygoda,14,4,0
lame to,kiepski do,14,0,0
clutter up,bałaganić,15,6,0
inevitable,nieunikniony,27,5,1
desirable,pożądany,12,7,1
inefficient,nieskuteczny,14,0,0
needless,nieproduktywny,15,5,0
flattening,spłaszczenie,14,0,0
broadened,poszerzony,14,0,0
unbearably,nieznośnie,14,1,0
irresistible,nieodparty,12,4,1
immovable,nieruchomy,14,1,0
unimaginably,niewyobrażalnie,14,1,0
unbearable,nie do zniesienia,14,1,0
resemblance,podobieństwo,15,3,0
barely,ledwie,14,0,0
reusability,możliwość ponownego wykorzystania,12,9,1
sustainable,podtrzymywalny,15,8,0
accrete,narastać,14,0,0
stupendous,zdumiewający,14,1,0
pervade,przenikać,14,1,0
distressingly,przygnębiająco,14,0,0
inexhaustible,niewyczerpany,14,2,0
toward,w kierunku,14,0,0
pervasive,rozpowszechniony,15,7,0
overcome,pokonać,14,5,0
brevity,zwięzłość,14,1,0
fuzzy,zamazany,15,2,0
flowcharts,schematy blokowe,14,0,0
align,wyrównywać,14,1,0
primarily,głównie,15,3,0
enlightenment,oświecenie,12,5,1
stretch,rozciągać się,12,3,1
prone,skłonny,14,1,0
keenly,gorąco,14,3,0
leaking,przecieka,14,2,0
inexorably,nieubłaganie,14,0,0
thread,wątek,14,0,0
crutches,kule kalekiego,14,3,0
habits,zwyczaje,14,2,0
glued,przyklejony,15,5,0
immovably,nieruchomo,15,3,0
emerge,pojawić się,15,6,0
struggle,borykać się,14,3,0
formidable,potężny,12,5,1
pointy - haired,spiczastowłosy,14,2,0
miraculously,cudownie,14,0,0
whatsoever,cokolwiek,14,1,0
assumption,założenie,14,3,0
hesitation,wahanie,14,0,0
origins,pochodzenie,15,1,0
widespread,rozpowszechniony,14,4,0
coolness,chłód,14,1,0
refrigerator-sized,wielkości lodówki,14,1,0
wristwatch,zegarek na rękę,14,1,0
relevant,istotne,14,2,0
obsolete,przestarzały,12,8,0
embodied,wcielony,15,2,0
converging,zbieżny,12,7,1
granted,nadany,12,10,1
entrenched,okopany,14,5,0
bizarre,dziwaczny,12,5,1
abbreviation,skrót,12,6,1
claim,prawo,12,5,1
fierce,okrutny/gwałtowny,12,12,0
centripetal,dośrodkowy,14,0,0
magnify,powiększać,14,0,0
disposal,sprzedaż,15,14,0
intrinsic,wewnętrzny,14,5,0
differential,mechanizm różnicowy,14,0,0
roughly,mniej więcej,14,3,0
criterion,kryterium,14,0,0
appendix,dodatek,14,1,0
retains,zachowuje,14,1,0
omit,pomijać,14,2,0
rivalry,rywalizacja,14,0,0
Turing- equivalent,ekwiwalent Turinga,14,0,0
pinches,szczypta,12,5,1
sculpture,rzeźba,14,3,0
minority,mniejszość,15,4,0
external factors,czynniki zewnętrzne,14,0,0
acknowledging,uznając,12,5,1
transitive,przechodni,15,7,0
judged,osądzony,12,5,1
succinctness,zwięzłość,14,2,0
extraneous,obcy,12,8,1
unsavory,niesmaczny,15,6,0
internal,wewnętrzny,14,3,0
subvert,obalić,15,7,0
innards,bebech,12,12,1
grisly,przerażający,12,10,0
orthogonal,prostokątny,14,0,0
raffish,ordynarny,15,3,0
disapprovingly,nieprzychylnie,14,1,0
overwhelmed,przytłoczony,14,4,0
bogged,ugrzęzło,14,3,0
sterile,jałowy,14,2,0
daunting,zniechęcające,14,3,0
readily,łatwo,15,5,0
bottlenecks,wąskie gardła,15,1,0
plaintive,żałosny,15,7,0
tale,opowieść,12,11,0
perceived,postrzegane,14,4,0
bloated,nadęty,12,9,1
heap,kopiec,14,0,0
persistent,uporczywy,15,8,0
ingredient,składnik,14,1,0
considering,wobec,14,5,0
invents,wymyśla,12,9,1
exemplified,zilustrowany,15,5,0
smooth,płynny,14,1,0
naive,naiwny,29,1,0
faith,wiara,14,3,0
outweigh,przeważać kogoś coś,14,5,0
dare,odważyć się,15,6,0
deter,powstrzymać,14,6,0
wise,mądry,15,6,0
terse,lakoniczny/zwięzły,12,8,1
blindingly,oślepiająco,14,2,0
inner loops,wewnętrzne pętle,14,0,0
retained,zachowane,15,2,0
deprecated,przestarzałe,14,2,0
neat,czysty,14,2,0
surpasses,przewyższa,14,5,0
benevolently,życzliwie,14,3,0
lumpy,grudkowaty,12,5,1
hopelessly,beznadziejnie,15,1,0
pruned,przycięte,15,5,0
dispute,spierać się/kwestionować,12,12,0
mandatory,obowiązkowe,15,2,0
self-indulgently,pobłażać sobie,14,1,0
philosophizing,filozofować,14,1,0
embroidered,haftowane,14,10,0
insights,spostrzeżenia,14,0,0
halfway,w połowie drogi,14,0,0
blurry,rozmazany,14,0,0
refine,oczyścić,14,6,0
unsophisticated,niewyszukany,14,4,0
sailing,żeglarstwo,14,0,0
meanwhile,tymczasem,14,0,0
inward-looking,zapatrzony w siebie,14,1,0
outnumber,przewyższać liczebnie,14,0,0
diluted,rozcieńczony,12,7,1
freely,swobodnie,15,2,0
immediate,natychmiastowy,14,1,0
explicit measures,wyraźne środki,14,0,0
impose on,nakładają na,14,0,0
burden,ciężar,14,2,0
broken ones,zepsute,14,7,0
implicit,domniemany,12,14,1
sovereignty,suwerenność,14,1,0
fastidiousness,wybredność,14,1,0
curiosity,ciekawość,14,1,0
unpardonably,niewybaczalne,15,2,0
sloppy,niechlujny,14,2,0
willing,chętny,15,3,0
labelled,oznaczony,14,1,0
submarine,łódź podwodna,14,0,0
virtues,cnoty,12,5,1
encourage,przekonywać,14,3,0
reinforces,wzmacnia,15,4,0
counterintuitive,przeciwny,12,7,1
surprisingness,zdziwienie,14,1,0
innate,wrodzony,12,4,1
shore it up,wzmocnić to,14,0,0
whereas,"mając na uwadze, że",11,9,0
gluttons,żarłocy,14,2,0
vacuum,próżnia,12,10,0
subversive,wywrotowy,15,6,0
seek out,szukać,14,1,0
engage it,zaangażuj to,14,0,0
indulge it,pobłażać temu,12,3,1
lead to,prowadzić do,14,0,0
latter,drugi,14,0,0
gossip,plotki,15,4,0
deluded,złudzenie,14,7,0
bogusness,podróbka,12,8,1
pomposity,pompatyczność,14,1,0
damaging,niszczący,14,1,0
earnest,starający się,14,4,0
grad,stopień,15,4,0
afterward,później,14,1,0
diligent,staranny,12,7,1
slack,luźny,14,1,0
conflation,łączenie,14,4,0
cram,dopchać/faszerować,12,11,0
ceased,przerwany,15,10,0
medieval,średniowieczny,15,5,0
assigned,przydzielony,14,5,0
sharply-defined,ostro zdefiniowane,14,0,0
inadvertently,nieumyślnie,14,2,0
surpassed,przekroczony/przejść,11,10,0
porous as a colander,dziurkowaty jak durszlak,14,1,0
overloaded,przeciążony,14,1,0
tempted,skuszony,12,9,1
admissions,przyjęć,12,7,1
freakishly,dziwacznie,14,1,0
industries,branże,14,2,0
explicit purpose of,wyraźny cel,14,1,0
test-prep,przygotowanie do testu,14,1,0
counsellors,doradcy,14,1,0
nor claim to be,"ani twierdzić, że jest",14,0,0
admirable,zachwycający,12,3,1
admirableness,godny podziwu,14,2,0
distorts,zniekształca,14,1,0
alienated,wyobcowany,15,6,0
subtler,subtelniejszy,12,3,1
advising,doradzanie,15,10,0
overcomplicated,zbyt skomplikowane,14,0,0
yourselves,siebie/osobiście,15,3,0
promising,obiecujący,14,1,0
launch,uruchomić,14,0,0
exposure,narażenie,12,5,1
astonishment,zdziwienie,14,0,0
dutifully,posłusznie,15,7,0
knots,węzły,12,4,1
attached,przywiązany,14,2,0
bogus,podrobiony/nieprawdziwy,12,11,1
bureaucratic,biurokratyczny,14,1,0
banish,wygnać/pozbyć się,15,9,0
explicitly,wyraźnie,14,1,0
neglect,zaniedbanie,20,6,0
chase down,ścigać,15,9,0
appealing,pociągający,14,1,0
imposed,nałożony/narzucić,12,5,1
inherently,właściwie,14,0,0
claiming,twierdząc,15,6,0
executive,wykonawczy,14,0,0
foresee,przewidywać,12,8,0
edifice,gmach/budowla,12,8,1
crumbling down,kruszenie się,12,5,1
starved,zagłodzony,12,4,1
influx,napływ,14,2,0
amazed,zdziwiony,15,2,0
You either graduate or you don't.,"Albo kończysz szkołę, albo nie.",14,0,0
wonderful thing,cudowna rzecz,14,0,0
indeed,rzeczywiście/naprawdę,12,11,0
ingenious,pomysłowy/sprytny,15,7,0
arbitrary,samowolny,12,5,1
tight,obcisły/szczelnie,12,7,1
raising,wychowywanie,12,11,1
unrelated,niepowiązane,14,1,0
in tax,w podatku,14,0,0
mere,sam/zwykły,14,3,0
taught to,nauczył się,14,1,0
distractions,rozpraszacze,14,1,0
scheduled,zaplanowany,14,1,0
stretches,odcinki(dlugosc pracy np),12,5,1
succinct,zwięzły,14,0,0
partially,w części,14,0,0
yields,wydajność,14,2,0
too dense,zbyt gęsty,14,0,0
spread,rozpowszechnienie,12,10,1
introductory,wprowadzający/wstępny,14,3,0
all-encompassing,wszechogarniająca,14,0,0
thoroughly,dokładnie,14,6,0
ambiguous,dwuznaczny,14,1,0
encompass,zawierać,15,4,0
outweighed,przeważał,15,5,0
sanctioned,usankcjonowany,14,2,0
justifiable,uzasadniony/słuszny,29,10,1
labor of love,praca z miłości,14,0,0
note-to-self,uwaga do siebie,15,3,0
unpromising,nie obiecujący,14,1,0
rebellion,bunt,12,8,1
behave,zachować się/postępować,15,7,0
demands of,wymagania,14,6,0
binges,objadanie się/pijatyka,12,12,0
plunge,wpaść,11,8,1
growl,warczeć/burczeć,15,5,0
whether or not,tak czy owak,14,1,0
luggage,bagaż,14,2,0
anyhow,w każdym razie,14,4,0
pose,poza,14,0,0
lack of,brak,14,1,0
impose,narzucać,12,4,1
tuned,dostrojony,14,6,0
jotting down,notować,15,2,0
well-chosen,dobrze dobrany,14,0,0
bulleted,punktowany,14,0,0
gist of,istota,12,5,0
although,chociaż,12,5,1
catchy,wpada w ucho,12,6,1
hesitating,wahanie,14,2,0
half-baked,na wpół upieczony,14,0,0
handling,obsługiwanie,15,6,0
pronouns,zaimki,14,1,0
pivot,oś,14,0,0
redundancy,nadmierność,15,3,0
information density,gęstość informacji,15,2,0
excess,nadmiar,12,7,1
long-winded,skomplikowany/rozwlekły,14,1,0
interrogated,przesłuchiwany,15,6,0
flux,strumień,14,0,0
assignment,zadanie,14,2,0
conspicuous,rzucający się w oczy,12,11,1
ternary,potrójny,14,1,0
proponents,zwolennicy,14,3,0
reexecuted,ponownie wykonany,15,3,0
underneath,pod spodem,15,1,0
guarantee,gwarancja,15,2,0
judicious,rozsądny,11,5,1
blasphemy,bluźnierstwo,12,3,1
dissect,analizować wnikliwie,12,14,0
nesting,zagnieżdżanie,14,0,0
flow of,przebieg,14,2,0
invoke,odwołać się,12,6,1
squid,kałamarnica,15,6,0
donut-shaped,w kształcie pączka,14,0,0
esophagus,przełyk,11,10,1
digestible,strawny,15,7,0
swallow,połknąć,14,2,0
distribute,rozprowadzać,14,3,0
abusing,nadużycie,14,1,0
nugget of truth,ziarnko prawdy,12,5,1
newer,nowsza,14,0,0
nonexclusive,niewyłączny,14,2,0
slip by,przemijać,12,5,1
altogether,całkowicie,14,3,0
bundle,pakiet,14,3,0
standalone,samodzielny,14,1,0
resulting,wynikły,14,2,0
guaranteed,gwarantowane,14,0,0
broad,szeroki,26,2,0
sophomores,studenci drugiego roku,12,3,1
foreground,pierwszoplanowy,15,2,0
